Origin city,Destination city
"Albuquerque, NM","Dallas/Fort Worth, TX"
"Albuquerque, NM","Denver, CO"
"Albuquerque, NM","Austin, TX"
"Albuquerque, NM","Phoenix, AZ"
"Albuquerque, NM","Boston, MA (Metropolitan Area)"
"Albuquerque, NM","Chicago, IL"
"Albuquerque, NM","Houston, TX"
"Albuquerque, NM","Orlando, FL"
"Albuquerque, NM","Las Vegas, NV"
"Albuquerque, NM","San Francisco, CA (Metropolitan Area)"
"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)"
"Albuquerque, NM","San Diego, CA"
"Albuquerque, NM","Portland, OR"
"Albuquerque, NM","Washington, DC (Metropolitan Area)"
"Albuquerque, NM","Atlanta, GA (Metropolitan Area)"
"Albuquerque, NM","Seattle, WA"
"Albuquerque, NM","Salt Lake City, UT"
"Dallas/Fort Worth, TX","Pittsburgh, PA"
"Dallas/Fort Worth, TX","Denver, CO"
"Dallas/Fort Worth, TX","Phoenix, AZ"
"Dallas/Fort Worth, TX","Hartford, CT"
"Dallas/Fort Worth, TX","El Paso, TX"
"Dallas/Fort Worth, TX","Nashville, TN"
"Dallas/Fort Worth, TX","St. Louis, MO"
"Dallas/Fort Worth, TX","Jacksonville, FL"
"Dallas/Fort Worth, TX","Houston, TX"
"Dallas/Fort Worth, TX","Orlando, FL"
"Dallas/Fort Worth, TX","Panama City, FL"
"Dallas/Fort Worth, TX","New York City, NY (Metropolitan Area)"
"Dallas/Fort Worth, TX","Indianapolis, IN"
"Dallas/Fort Worth, TX","Miami, FL (Metropolitan Area)"
"Dallas/Fort Worth, TX","Los Angeles, CA (Metropolitan Area)"
"Dallas/Fort Worth, TX","Little Rock, AR"
"Dallas/Fort Worth, TX","Louisville, KY"
"Dallas/Fort Worth, TX","Sacramento, CA"
"Dallas/Fort Worth, TX","Tampa, FL (Metropolitan Area)"
"Dallas/Fort Worth, TX","Kansas City, MO"
"Dallas/Fort Worth, TX","San Antonio, TX"
"Dallas/Fort Worth, TX","Memphis, TN"
"Dallas/Fort Worth, TX","Omaha, NE"
"Dallas/Fort Worth, TX","Milwaukee, WI"
"Dallas/Fort Worth, TX","New Orleans, LA"
"Dallas/Fort Worth, TX","San Diego, CA"
"Dallas/Fort Worth, TX","Oklahoma City, OK"
"Dallas/Fort Worth, TX","Raleigh/Durham, NC"
"Dallas/Fort Worth, TX","Reno, NV"
"Dallas/Fort Worth, TX","Des Moines, IA"
"Dallas/Fort Worth, TX","Washington, DC (Metropolitan Area)"
"Dallas/Fort Worth, TX","Detroit, MI"
"Dallas/Fort Worth, TX","Greenville/Spartanburg, SC"
"Dallas/Fort Worth, TX","Pensacola, FL"
"Dallas/Fort Worth, TX","Philadelphia, PA"
"Dallas/Fort Worth, TX","Salt Lake City, UT"
"Dallas/Fort Worth, TX","Lubbock, TX"
"Dallas/Fort Worth, TX","Midland/Odessa, TX"
"Dallas/Fort Worth, TX","Tulsa, OK"
"Dallas/Fort Worth, TX","West Palm Beach/Palm Beach, FL"
"Dallas/Fort Worth, TX","Richmond, VA"
"Dallas/Fort Worth, TX","Amarillo, TX"
"Dallas/Fort Worth, TX","Austin, TX"
"Dallas/Fort Worth, TX","Birmingham, AL"
"Dallas/Fort Worth, TX","Cleveland, OH (Metropolitan Area)"
"Dallas/Fort Worth, TX","Boise, ID"
"Dallas/Fort Worth, TX","Buffalo, NY"
"Dallas/Fort Worth, TX","Chicago, IL"
"Dallas/Fort Worth, TX","Charleston, SC"
"Dallas/Fort Worth, TX","Columbus, OH"
"Dallas/Fort Worth, TX","Atlanta, GA (Metropolitan Area)"
"Dallas/Fort Worth, TX","Charlotte, NC"
"Dallas/Fort Worth, TX","Corpus Christi, TX"
"Denver, CO","Albany, NY"
"Denver, CO","Pittsburgh, PA"
"Denver, CO","Phoenix, AZ"
"Denver, CO","Hartford, CT"
"Denver, CO","Nashville, TN"
"Denver, CO","St. Louis, MO"
"Denver, CO","Jacksonville, FL"
"Denver, CO","Houston, TX"
"Denver, CO","Orlando, FL"
"Denver, CO","New York City, NY (Metropolitan Area)"
"Denver, CO","Grand Rapids, MI"
"Denver, CO","Las Vegas, NV"
"Denver, CO","Indianapolis, IN"
"Denver, CO","San Francisco, CA (Metropolitan Area)"
"Denver, CO","Los Angeles, CA (Metropolitan Area)"
"Denver, CO","Louisville, KY"
"Denver, CO","Sacramento, CA"
"Denver, CO","Tampa, FL (Metropolitan Area)"
"Denver, CO","Kansas City, MO"
"Denver, CO","San Antonio, TX"
"Denver, CO","Omaha, NE"
"Denver, CO","Milwaukee, WI"
"Denver, CO","New Orleans, LA"
"Denver, CO","San Diego, CA"
"Denver, CO","Norfolk, VA (Metropolitan Area)"
"Denver, CO","Oklahoma City, OK"
"Denver, CO","Portland, OR"
"Denver, CO","Raleigh/Durham, NC"
"Denver, CO","Reno, NV"
"Denver, CO","Tucson, AZ"
"Denver, CO","Seattle, WA"
"Denver, CO","Detroit, MI"
"Denver, CO","Minneapolis/St. Paul, MN"
"Denver, CO","Philadelphia, PA"
"Denver, CO","Salt Lake City, UT"
"Denver, CO","Spokane, WA"
"Denver, CO","Tulsa, OK"
"Denver, CO","Richmond, VA"
"Denver, CO","Austin, TX"
"Denver, CO","Cleveland, OH (Metropolitan Area)"
"Denver, CO","Boise, ID"
"Denver, CO","Boston, MA (Metropolitan Area)"
"Denver, CO","Chicago, IL"
"Denver, CO","Charleston, SC"
"Denver, CO","Columbus, OH"
"Denver, CO","Atlanta, GA (Metropolitan Area)"
"Austin, TX","Pittsburgh, PA"
"Austin, TX","Phoenix, AZ"
"Austin, TX","El Paso, TX"
"Austin, TX","Cleveland, OH (Metropolitan Area)"
"Austin, TX","Nashville, TN"
"Austin, TX","Boston, MA (Metropolitan Area)"
"Austin, TX","Chicago, IL"
"Austin, TX","Columbus, OH"
"Austin, TX","St. Louis, MO"
"Austin, TX","Houston, TX"
"Austin, TX","Orlando, FL"
"Austin, TX","New York City, NY (Metropolitan Area)"
"Austin, TX","Las Vegas, NV"
"Austin, TX","Indianapolis, IN"
"Austin, TX","San Francisco, CA (Metropolitan Area)"
"Austin, TX","Miami, FL (Metropolitan Area)"
"Austin, TX","Los Angeles, CA (Metropolitan Area)"
"Austin, TX","Sacramento, CA"
"Austin, TX","Tampa, FL (Metropolitan Area)"
"Austin, TX","Kansas City, MO"
"Austin, TX","Milwaukee, WI"
"Austin, TX","New Orleans, LA"
"Austin, TX","San Diego, CA"
"Austin, TX","Raleigh/Durham, NC"
"Austin, TX","Washington, DC (Metropolitan Area)"
"Austin, TX","Detroit, MI"
"Austin, TX","Philadelphia, PA"
"Austin, TX","Salt Lake City, UT"
"Austin, TX","Atlanta, GA (Metropolitan Area)"
"Phoenix, AZ","Pittsburgh, PA"
"Phoenix, AZ","St. Louis, MO"
"Phoenix, AZ","San Francisco, CA (Metropolitan Area)"
"Phoenix, AZ","Sacramento, CA"
"Phoenix, AZ","Tampa, FL (Metropolitan Area)"
"Phoenix, AZ","San Antonio, TX"
"Phoenix, AZ","San Diego, CA"
"Phoenix, AZ","Portland, OR"
"Phoenix, AZ","Raleigh/Durham, NC"
"Phoenix, AZ","Reno, NV"
"Phoenix, AZ","Washington, DC (Metropolitan Area)"
"Phoenix, AZ","Seattle, WA"
"Phoenix, AZ","Salt Lake City, UT"
"Phoenix, AZ","Spokane, WA"
"Phoenix, AZ","Tulsa, OK"
"Phoenix, AZ","Wichita, KS"
"Phoenix, AZ","Hartford, CT"
"Phoenix, AZ","El Paso, TX"
"Phoenix, AZ","Cleveland, OH (Metropolitan Area)"
"Phoenix, AZ","Nashville, TN"
"Phoenix, AZ","Boise, ID"
"Phoenix, AZ","Buffalo, NY"
"Phoenix, AZ","Chicago, IL"
"Phoenix, AZ","Columbus, OH"
"Phoenix, AZ","Houston, TX"
"Phoenix, AZ","Orlando, FL"
"Phoenix, AZ","Las Vegas, NV"
"Phoenix, AZ","Indianapolis, IN"
"Phoenix, AZ","Miami, FL (Metropolitan Area)"
"Phoenix, AZ","Los Angeles, CA (Metropolitan Area)"
"Phoenix, AZ","Louisville, KY"
"Phoenix, AZ","Kansas City, MO"
"Phoenix, AZ","Memphis, TN"
"Phoenix, AZ","Omaha, NE"
"Phoenix, AZ","Milwaukee, WI"
"Phoenix, AZ","New Orleans, LA"
"Phoenix, AZ","Oklahoma City, OK"
"Phoenix, AZ","Atlanta, GA (Metropolitan Area)"
"Phoenix, AZ","Detroit, MI"
"Phoenix, AZ","Minneapolis/St. Paul, MN"
"Phoenix, AZ","Philadelphia, PA"
"Boston, MA (Metropolitan Area)","Nashville, TN"
"Boston, MA (Metropolitan Area)","Chicago, IL"
"Boston, MA (Metropolitan Area)","Columbus, OH"
"Boston, MA (Metropolitan Area)","St. Louis, MO"
"Boston, MA (Metropolitan Area)","Orlando, FL"
"Boston, MA (Metropolitan Area)","Fort Myers, FL"
"Boston, MA (Metropolitan Area)","Grand Rapids, MI"
"Boston, MA (Metropolitan Area)","Indianapolis, IN"
"Boston, MA (Metropolitan Area)","Miami, FL (Metropolitan Area)"
"Boston, MA (Metropolitan Area)","Louisville, KY"
"Boston, MA (Metropolitan Area)","Tampa, FL (Metropolitan Area)"
"Boston, MA (Metropolitan Area)","Kansas City, MO"
"Boston, MA (Metropolitan Area)","San Antonio, TX"
"Boston, MA (Metropolitan Area)","Memphis, TN"
"Boston, MA (Metropolitan Area)","Omaha, NE"
"Boston, MA (Metropolitan Area)","Milwaukee, WI"
"Boston, MA (Metropolitan Area)","Washington, DC (Metropolitan Area)"
"Boston, MA (Metropolitan Area)","Tucson, AZ"
"Chicago, IL","Albany, NY"
"Chicago, IL","Birmingham, AL"
"Chicago, IL","Boise, ID"
"Chicago, IL","Buffalo, NY"
"Chicago, IL","Pittsburgh, PA"
"Chicago, IL","Hartford, CT"
"Chicago, IL","El Paso, TX"
"Chicago, IL","Cleveland, OH (Metropolitan Area)"
"Chicago, IL","Nashville, TN"
"Chicago, IL","Columbus, OH"
"Chicago, IL","St. Louis, MO"
"Chicago, IL","Jacksonville, FL"
"Chicago, IL","Houston, TX"
"Chicago, IL","Orlando, FL"
"Chicago, IL","New York City, NY (Metropolitan Area)"
"Chicago, IL","Fort Myers, FL"
"Chicago, IL","Las Vegas, NV"
"Chicago, IL","Indianapolis, IN"
"Chicago, IL","San Francisco, CA (Metropolitan Area)"
"Chicago, IL","Miami, FL (Metropolitan Area)"
"Chicago, IL","Los Angeles, CA (Metropolitan Area)"
"Chicago, IL","Louisville, KY"
"Chicago, IL","Sacramento, CA"
"Chicago, IL","Tampa, FL (Metropolitan Area)"
"Chicago, IL","Kansas City, MO"
"Chicago, IL","San Antonio, TX"
"Chicago, IL","Memphis, TN"
"Chicago, IL","Omaha, NE"
"Chicago, IL","New Orleans, LA"
"Chicago, IL","Norfolk, VA (Metropolitan Area)"
"Chicago, IL","Oklahoma City, OK"
"Chicago, IL","Raleigh/Durham, NC"
"Chicago, IL","Reno, NV"
"Chicago, IL","Washington, DC (Metropolitan Area)"
"Chicago, IL","Tucson, AZ"
"Chicago, IL","Seattle, WA"
"Chicago, IL","Detroit, MI"
"Chicago, IL","Minneapolis/St. Paul, MN"
"Chicago, IL","Cincinnati, OH"
"Chicago, IL","Philadelphia, PA"
"Chicago, IL","Salt Lake City, UT"
"Chicago, IL","Spokane, WA"
"Chicago, IL","Tulsa, OK"
"Chicago, IL","Charleston, SC"
"Chicago, IL","Atlanta, GA (Metropolitan Area)"
"Chicago, IL","Charlotte, NC"
"Houston, TX","Amarillo, TX"
"Houston, TX","Hartford, CT"
"Houston, TX","Birmingham, AL"
"Houston, TX","El Paso, TX"
"Houston, TX","Cleveland, OH (Metropolitan Area)"
"Houston, TX","Buffalo, NY"
"Houston, TX","Charleston, SC"
"Houston, TX","Columbus, OH"
"Houston, TX","Pittsburgh, PA"
"Houston, TX","Nashville, TN"
"Houston, TX","St. Louis, MO"
"Houston, TX","Jacksonville, FL"
"Houston, TX","New York City, NY (Metropolitan Area)"
"Houston, TX","Las Vegas, NV"
"Houston, TX","Indianapolis, IN"
"Houston, TX","San Francisco, CA (Metropolitan Area)"
"Houston, TX","Miami, FL (Metropolitan Area)"
"Houston, TX","Little Rock, AR"
"Houston, TX","Louisville, KY"
"Houston, TX","Sacramento, CA"
"Houston, TX","Tampa, FL (Metropolitan Area)"
"Houston, TX","Kansas City, MO"
"Houston, TX","San Antonio, TX"
"Houston, TX","Memphis, TN"
"Houston, TX","Omaha, NE"
"Houston, TX","Milwaukee, WI"
"Houston, TX","New Orleans, LA"
"Houston, TX","San Diego, CA"
"Houston, TX","Norfolk, VA (Metropolitan Area)"
"Houston, TX","Oklahoma City, OK"
"Houston, TX","Portland, OR"
"Houston, TX","Raleigh/Durham, NC"
"Houston, TX","Washington, DC (Metropolitan Area)"
"Houston, TX","Philadelphia, PA"
"Houston, TX","Salt Lake City, UT"
"Houston, TX","Lubbock, TX"
"Houston, TX","Midland/Odessa, TX"
"Houston, TX","Tulsa, OK"
"Houston, TX","Richmond, VA"
"Houston, TX","Harlingen/San Benito, TX"
"Houston, TX","Atlanta, GA (Metropolitan Area)"
"Houston, TX","Charlotte, NC"
"Orlando, FL","Albany, NY"
"Orlando, FL","Hartford, CT"
"Orlando, FL","Birmingham, AL"
"Orlando, FL","Nashville, TN"
"Orlando, FL","Buffalo, NY"
"Orlando, FL","Columbus, OH"
"Orlando, FL","Pittsburgh, PA"
"Orlando, FL","St. Louis, MO"
"Orlando, FL","San Francisco, CA (Metropolitan Area)"
"Orlando, FL","Sacramento, CA"
"Orlando, FL","San Antonio, TX"
"Orlando, FL","San Diego, CA"
"Orlando, FL","Portland, OR"
"Orlando, FL","Raleigh/Durham, NC"
"Orlando, FL","Rochester, NY"
"Orlando, FL","Washington, DC (Metropolitan Area)"
"Orlando, FL","Portland, ME"
"Orlando, FL","Tulsa, OK"
"Orlando, FL","New York City, NY (Metropolitan Area)"
"Orlando, FL","Grand Rapids, MI"
"Orlando, FL","Las Vegas, NV"
"Orlando, FL","Indianapolis, IN"
"Orlando, FL","Miami, FL (Metropolitan Area)"
"Orlando, FL","Louisville, KY"
"Orlando, FL","Kansas City, MO"
"Orlando, FL","Memphis, TN"
"Orlando, FL","Omaha, NE"
"Orlando, FL","Milwaukee, WI"
"Orlando, FL","New Orleans, LA"
"Orlando, FL","Norfolk, VA (Metropolitan Area)"
"Orlando, FL","Oklahoma City, OK"
"Orlando, FL","Des Moines, IA"
"Orlando, FL","Atlanta, GA (Metropolitan Area)"
"Las Vegas, NV","Hartford, CT"
"Las Vegas, NV","El Paso, TX"
"Las Vegas, NV","Cleveland, OH (Metropolitan Area)"
"Las Vegas, NV","Boise, ID"
"Las Vegas, NV","Buffalo, NY"
"Las Vegas, NV","Columbus, OH"
"Las Vegas, NV","Jacksonville, FL"
"Las Vegas, NV","Pittsburgh, PA"
"Las Vegas, NV","Nashville, TN"
"Las Vegas, NV","St. Louis, MO"
"Las Vegas, NV","San Francisco, CA (Metropolitan Area)"
"Las Vegas, NV","Los Angeles, CA (Metropolitan Area)"
"Las Vegas, NV","Louisville, KY"
"Las Vegas, NV","Sacramento, CA"
"Las Vegas, NV","Tampa, FL (Metropolitan Area)"
"Las Vegas, NV","San Antonio, TX"
"Las Vegas, NV","Omaha, NE"
"Las Vegas, NV","Milwaukee, WI"
"Las Vegas, NV","New Orleans, LA"
"Las Vegas, NV","San Diego, CA"
"Las Vegas, NV","Norfolk, VA (Metropolitan Area)"
"Las Vegas, NV","Oklahoma City, OK"
"Las Vegas, NV","Portland, OR"
"Las Vegas, NV","Raleigh/Durham, NC"
"Las Vegas, NV","Reno, NV"
"Las Vegas, NV","Washington, DC (Metropolitan Area)"
"Las Vegas, NV","Tucson, AZ"
"Las Vegas, NV","Seattle, WA"
"Las Vegas, NV","Salt Lake City, UT"
"Las Vegas, NV","Spokane, WA"
"Las Vegas, NV","Tulsa, OK"
"Las Vegas, NV","Wichita, KS"
"Las Vegas, NV","Richmond, VA"
"Las Vegas, NV","Indianapolis, IN"
"Las Vegas, NV","Kansas City, MO"
"San Francisco, CA (Metropolitan Area)","Pittsburgh, PA"
"San Francisco, CA (Metropolitan Area)","Albany, NY"
"San Francisco, CA (Metropolitan Area)","Hartford, CT"
"San Francisco, CA (Metropolitan Area)","El Paso, TX"
"San Francisco, CA (Metropolitan Area)","Cleveland, OH (Metropolitan Area)"
"San Francisco, CA (Metropolitan Area)","Nashville, TN"
"San Francisco, CA (Metropolitan Area)","Boise, ID"
"San Francisco, CA (Metropolitan Area)","Buffalo, NY"
"San Francisco, CA (Metropolitan Area)","Charleston, SC"
"San Francisco, CA (Metropolitan Area)","Columbus, OH"
"San Francisco, CA (Metropolitan Area)","Jacksonville, FL"
"San Francisco, CA (Metropolitan Area)","Grand Rapids, MI"
"San Francisco, CA (Metropolitan Area)","Indianapolis, IN"
"San Francisco, CA (Metropolitan Area)","St. Louis, MO"
"San Francisco, CA (Metropolitan Area)","Tampa, FL (Metropolitan Area)"
"San Francisco, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)"
"San Francisco, CA (Metropolitan Area)","Tucson, AZ"
"San Francisco, CA (Metropolitan Area)","Seattle, WA"
"San Francisco, CA (Metropolitan Area)","Spokane, WA"
"San Francisco, CA (Metropolitan Area)","Los Angeles, CA (Metropolitan Area)"
"San Francisco, CA (Metropolitan Area)","Louisville, KY"
"San Francisco, CA (Metropolitan Area)","Kansas City, MO"
"San Francisco, CA (Metropolitan Area)","San Antonio, TX"
"San Francisco, CA (Metropolitan Area)","Memphis, TN"
"San Francisco, CA (Metropolitan Area)","Omaha, NE"
"San Francisco, CA (Metropolitan Area)","Milwaukee, WI"
"San Francisco, CA (Metropolitan Area)","New Orleans, LA"
"San Francisco, CA (Metropolitan Area)","San Diego, CA"
"San Francisco, CA (Metropolitan Area)","Norfolk, VA (Metropolitan Area)"
"San Francisco, CA (Metropolitan Area)","Oklahoma City, OK"
